id_empleado,id_cargo,fecha_ingreso,nombre_empleado,apellido_empleado,domicilio_empleado,id_localidad,id_pais,id_provincia
1,1,2023-06-27,Dita,Hydes,Avenida 456,37,1,9
2,6,2022-12-19,Debee,Ferro,Calle 123,90,1,22
3,5,2023-04-23,Willie,Osboldstone,Plaza 789,31,1,19
4,1,2023-04-08,Xena,Redier,Calle 123,98,1,5
5,3,2022-11-07,Doe,Goldup,Plaza 789,30,1,11
6,4,2023-08-04,Toni,Brenard,Avenida 456,40,1,2
7,3,2023-02-08,Hyacinthie,Castleton,Calle 123,80,1,21
8,3,2023-07-26,Kara-lynn,Knappe,Calle 123,85,1,13
9,3,2022-10-23,Edgardo,Cathenod,Calle 123,11,1,6
10,7,2023-02-07,Johnathon,Bosket,Calle 123,22,1,9
11,1,2023-02-27,Emmet,Gilmore,Avenida 456,86,1,6
12,1,2023-04-28,Ada,Beddis,Plaza 789,50,1,6
13,6,2023-05-20,Jacki,Batty,Plaza 789,9,1,7
14,1,2023-08-11,Shela,Stainfield,Avenida 456,21,1,1
15,3,2023-06-29,Carrol,Romero,Plaza 789,61,1,12
16,1,2023-08-17,Matias,Friman,Calle 123,32,1,9
17,6,2023-03-17,Corie,Banke,Plaza 789,76,1,23
18,2,2023-06-26,Delaney,Horning,Plaza 789,72,1,18
19,5,2023-05-26,Hank,Scoble,Plaza 789,82,1,13
20,2,2023-03-16,Ray,Rahlof,Avenida 456,22,1,17
21,1,2023-03-20,Carol,Greensides,Plaza 789,58,1,8
22,5,2023-01-17,Jessi,Barrabeale,Calle 123,19,1,8
23,5,2023-05-10,L;urette,Cleveley,Avenida 456,8,1,20
24,7,2022-10-20,Thea,Venes,Plaza 789,78,1,9
25,6,2023-03-04,Nataniel,Turn,Plaza 789,96,1,7
26,4,2023-01-17,Malinda,Morteo,Avenida 456,51,1,18
27,4,2023-08-08,Syman,Scarisbrick,Plaza 789,62,1,7
28,4,2023-03-30,Benedick,Doorly,Avenida 456,26,1,19
29,5,2022-09-15,Brandais,enzley,Plaza 789,87,1,16
30,5,2023-07-02,Ibrahim,Leither,Calle 123,44,1,22
31,5,2023-03-08,Felicia,Benitez,Calle 123,39,1,24
32,4,2022-12-28,Carlee,Dizlie,Plaza 789,10,1,9
33,1,2023-07-28,Tobin,Eglaise,Calle 123,68,1,11
34,1,2022-09-12,Lon,Sunter,Plaza 789,10,1,14
